3.5737 	ERROR 	Support for the `sounddevice` audio backend is not available this session. Please install `psychopy-sounddevice` and restart the session to enable support.
7.3915 	INFO 	Loaded monitor calibration from ['2023_07_08 10:12']
7.4035 	WARNING 	User requested fullscreen with size [1536  864], but screen is actually [1920, 1200]. Using actual size
8.3496 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd2a7555f70>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd2a7555f10>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([1., 1., 1.]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x7fd2a7555d90>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x7fd2ac4a7e50>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1200]), stencilBits=0, stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
8.3499 	EXP 	window1: mouseVisible = True
8.3500 	EXP 	window1: backgroundImage = ''
8.3500 	EXP 	window1: backgroundFit = 'none'
8.3513 	EXP 	window1: mouseVisible = False
8.3514 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
8.3514 	EXP 	window1: recordFrameIntervals = False
8.5155 	EXP 	window1: recordFrameIntervals = True
8.6992 	EXP 	Screen (0) actual frame rate measured at 59.94Hz
8.6993 	EXP 	window1: recordFrameIntervals = False
12.0700 	INFO 	keyboard.Keyboard is using iohub backend.
12.7537 	EXP 	Created text_2 = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([-1., -1., -1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='text_2', opacity=1.0, ori=0.0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='height', win=Window(...), wrapWidth=1)
12.7537 	INFO 	keyboard.Keyboard is using iohub backend.
